id,type,agency,program_type,name,address1,address2,address3,city,state,zip,lat,lon,geo_accuracy,contact_first_name,contact_last_name,date_first_record,date_recent_record,notes,phone,fax,url,email,created_at,updated_at
4,ICE ERO Field Office,ICE,,Atlanta Field Office,180 Ted Turner Dr. SW Suite 522,,,Atlanta,GA,30303,33.7495669,-84.3973298,precise,,,2016-07-26,2016-07-29,,(404) 893-1210,,https://www.ice.gov/contact/ero#wcm-survey-target-id,Atlanta.Outreach@ice.dhs.gov,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:46.973700+00:00
5,ICE ERO Field Office,ICE,,SND Field Office,,,,,,,,,,,,2015-12-22,2017-01-22,,,,https://www.ice.gov/contact/ero#wcm-survey-target-id,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:47.152500+00:00
6,ICE ERO Field Office,ICE,,San Diego Field Office,880 Front Street #2232,,,San Diego,CA,92101,32.7143257,-117.1653527,precise,,,2015-08-08,2016-09-26,,(619) 436-0410,,https://www.ice.gov/contact/ero#wcm-survey-target-id,SanDiego.Outreach@ice.dhs.gov,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:47.333600+00:00
7,ICE ERO Field Office,ICE,,Newark Field Office,970 Broad St. 11th Floor,,,Newark,NJ,7102,40.7301363,-74.1742268,precise,,,2016-02-17,2016-05-06,,(973) 645-3666,,https://www.ice.gov/contact/ero#wcm-survey-target-id,Newark.Outreach@ice.dhs.gov,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:47.514800+00:00
8,ICE ERO Field Office,ICE,,San Antonio Field Office,1777 NE Loop 410 Floor 15,,,San Antonio,TX,78217,29.517365,-98.4368439,precise,,,2015-07-26,2016-04-26,,(210) 283-4750,,https://www.ice.gov/contact/ero#wcm-survey-target-id,SanAntonio.Outreach@ice.dhs.gov,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:47.689000+00:00
9,ICE ERO Field Office,ICE,,Phoenix Field Office,2035 N. Central Avenue,,,Phoenix,AZ,85004,33.4708278,-112.0731136,precise,,,2015-09-05,2016-01-06,,(602) 766-7030,,https://www.ice.gov/contact/ero#wcm-survey-target-id,Phoenix.Outreach@ice.dhs.gov,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:47.861700+00:00
10,ICE ERO Field Office,ICE,,Los Angeles Field Office,300 North Los Angeles St. Room 7631,,,Los Angeles,CA,90012,34.0537633,-118.2397336,precise,,,2015-12-26,2016-09-26,,(213) 830-7911,,https://www.ice.gov/contact/ero#wcm-survey-target-id,LosAngeles.Outreach@ice.dhs.gov,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:48.029500+00:00
12,ICE or Shared Facility,,JUVENILE,ABRAXAS ACADEMY DETENTION CENTER,,,,New Morgan,,,40.1917776,-75.915922,,,,2017-02-24,2018-04-20,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:48.199900+00:00
13,ICE or Shared Facility,,DIGSA,ADELANTO ICE PROCESSING CENTER,,,,Adelanto,,,34.5582778,-117.4418355,,,,2018-04-16,2018-04-19,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:48.379300+00:00
14,ICE or Shared Facility,ICE,FAMILY,ARTESIA FAMILY RESIDENTIAL CENTER,,,,Artesia,New Mexico,,32.8423345,-104.4032963,,,,2014-07-19,2014-12-18,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:48.547000+00:00
15,ICE or Shared Facility,ICE,HOLD,ATLANTA DISTRICT HOLD ROOM,,,,Atlanta,Georgia,,33.7490987,-84.3901849,,,,2016-01-02,2018-03-14,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:48.724200+00:00
16,ICE or Shared Facility,ICE,HOLD,AUSTIN DRO HOLD ROOM,,,,Austin,Texas,,30.30758105,-97.712630246401,,,,2016-01-07,2016-01-07,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:48.896800+00:00
17,ICE or Shared Facility,ICE,HOLD,AZ REM OP COORD CENTER (AROCC),,,,Phoenix,Arizona,,33.4485866,-112.0773456,,,,2017-08-29,2017-10-14,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:49.066300+00:00
18,ICE or Shared Facility,ICE,HOLD,BALTIMORE DD&P,,,,Baltimore,Maryland,,39.2908816,-76.610759,,,,2016-08-24,2018-03-12,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:49.249100+00:00
